outcome,case_type_encoded,year,court,jurisdiction,tags,text
fair use found,0,2021,Supreme Court of the United States,U.S. Supreme Court,computer program,
fair use found,0,2021,United States Court of Appeals for the Second Circuit,2nd Circuit,"education, scholarship, research, internet, digitization, photograph",
fair use not found,0,2021,United States District Court for the Eastern District of New York,2nd Circuit,"internet, digitization, news reporting, photograph",
fair use not found,0,2021,United States Court of Appeals for the Eleventh Circuit,11th Circuit,"education, scholarship, research, internet, digitization",
fair use not found,0,2020,United States District Court for the Southern District of Florida,11th Circuit,"computer program, education, scholarship, research, internet, digitization",
fair use found,0,2020,United States District Court for the Eastern District of New York,2nd Circuit,"internet, digitization, news reporting, photograph",
fair use not found,0,2020,United States Court of Appeals for the Ninth Circuit,9th Circuit,"painting, drawing, graphic, parody, satire, textual work",
fair use found,0,2020,United States District Court for the Eastern District of Tennessee,6th Circuit,"news reporting, photograph",
fair use found,0,2020,United States District Court for the Central District of California,9th Circuit,music,
fair use not found,0,2020,United States District Court for the District of Nevada,9th Circuit,computer program,
fair use found,0,2020,United States District Court for the Southern District of New York,2nd Circuit,"news reporting, photograph, commentary",
fair use found,0,2020,United States District Court for the Central District of California,9th Circuit,"film, audiovisual",
fair use found,0,2020,United States District Court for the Southern District of Ohio,6th Circuit,"textual work, education, scholarship, research, internet, digitization",
fair use found,0,2020,United States District Court for the Southern District of New York,2nd Circuit,"photograph, sculpture",
fair use found,0,2020,United States District Court for the Southern District of New York,2nd Circuit,"internet, digitization, news reporting, photograph",
fair use not found,0,2020,United States District Court for the Southern District of New York,2nd Circuit,"education, scholarship, research, textual work, used in government proceeding",
fair use found,0,2020,United States District Court for the Southern District of New York,2nd Circuit,"computer program, film, audiovisual, painting, drawing, graphic",
fair use found,0,2020,United States District Court for the Northern District of California,9th Circuit, commentary,
fair use not found,0,2020,United States District Court for the District of Massachusetts,1st Circuit,"first circuit, film, audiovisual, music",
fair use not found,0,2019,United States District Court for the Central District of California,9th Circuit,"ninth circuit, photograph, news reporting, film, audiovisual",
fair use found,0,2019,United States District Court for the Northern District of Illinois,7th Circuit,"seventh circuit, film, audiovisual, music, commentary",
fair use not found,0,2019,United States District Court for the Western District of New York,2nd Circuit,"second circuit, film, audiovisual, news reporting, photograph, commentary",
fair use not found,0,2019,United States District Court for the Central District of California,9th Circuit,"ninth circuit, internet, digitization, commentary, painting, drawing, graphic",
fair use not found,0,2019,United States Court of Appeals for the Fourth Circuit,4th Circuit,"fourth circuit, photograph, internet, digitization",
fair use not found,0,2019,United States District Court for the Western District of Texas,5th Circuit,"photograph, internet, digitization",
fair use found,0,2019,United States District Court for the Southern District of New York,2nd Circuit,"second circuit, photograph, news reporting, parody, satire, commentary",
fair use not found,0,2019,United States Court of Appeals for the Ninth Circuit,9th Circuit,"ninth circuit, photograph",
fair use found,0,2019,United States District Court for the District of Montana,9th Circuit,"ninth circuit, photograph, commentary",
fair use not found,0,2018,United States Court of Appeals for the Second Circuit,2nd Circuit,"second circuit, internet, digitization, music",
fair use not found,0,2018,United States District Court for the Southern District of New York,2nd Circuit,"second circuit, internet, digitization, news reporting, photograph",
fair use not found,0,2018,United States Court of Appeals for the Eleventh Circuit,11th Circuit,"eleventh circuit, internet, digitization, textual work",
fair use not found,0,2018,United States District Court for the Southern District of New York,2nd Circuit,"second circuit, photograph, commentary, internet, digitization, news reporting",
fair use not found,0,2018,United States Court of Federal Claims,Federal Circuit,"federal circuit, sculpture, photograph",
fair use not found,0,2018,United States District Court for the Northern District of California,9th Circuit,"ninth circuit, film, audiovisual, internet, digitization, commentary",
fair use found,0,2018,United States District Court for the Eastern District of Virginia,4th Circuit,"fourth circuit, photograph, internet, digitization",
fair use not found,0,2018,United States District Court for the District of Montana,9th Circuit,"ninth circuit, photograph, commentary",
fair use found,0,2018,United States District Court for the Southern District of New York,2nd Circuit,"second circuit, music",
fair use not found,0,2018,United States Court of Appeals for the Second Circuit,2nd Circuit,"second circuit, internet, digitization, film, audiovisual",
fair use found,0,2018,United States District Court for the Eastern District of Virginia,4th Circuit,"fourth circuit, photograph, commentary, internet, digitization",
fair use found,0,2017,United States District Court for the District of Idaho,9th Circuit,"ninth circuit, painting, drawing, graphic, textual work",
fair use not found,0,2017,United States District Court for the Eastern District of Texas,5th Circuit,"fifth circuit, film, audiovisual, used in government proceeding",
fair use not found,0,2017,United States Court of Appeals for the Ninth Circuit,9th Circuit,"ninth circuit, film, audiovisual, format shifting, space shifting, internet, digitization",
fair use not found,0,2017,United States District Court for the Eastern District of Louisiana,5th Circuit,"fifth circuit, film, audiovisual, music",
fair use not found,0,2017,United States District Court for the Southern District of New York,2nd Circuit,"second circuit, photograph",
fair use found,0,2017,United States District Court for the District of Nevada,9th Circuit,"ninth circuit, unpublished, textual work",
fair use found,0,2017,United States District Court for the Southern District of New York,2nd Circuit,"second circuit, music",
fair use found,0,2017,United States District Court for the Middle District of Tennessee,6th Circuit,"sixth circuit, photograph, education, scholarship, research",
fair use not found,0,2017,United States District Court for the Northern District of Georgia,11th Circuit,"eleventh circuit, education, scholarship, research, textual work, used in government proceeding",
fair use not found,0,2016,United States District Court for the Central District of California,9th Circuit,"ninth circuit, film, audiovisual, format shifting, space shifting",
fair use not found,0,2016,United States Court of Appeals for the Second Circuit,2nd Circuit,"second circuit, film, audiovisual",
fair use not found,0,2016,United States District Court for the Southern District of New York,2nd Circuit,"second circuit, photograph, news reporting, commentary",
fair use not found,0,2016,-8,11th Circuit,"eleventh circuit, education, scholarship, research, internet, digitization, textual work",
fair use not found,0,2016,United States District Court for the Northern District of New York,2nd Circuit,"second circuit, painting, drawing, graphic",
fair use found,0,2015,United States District Court for the Eastern District of Missouri,8th Circuit,"eighth circuit, photograph, painting, drawing, graphic",
fair use found,0,2015,United States Court of Appeals for the Eleventh Circuit,11th Circuit,"eleventh circuit, education, scholarship, research, photograph, commentary",
fair use found,0,2015,United States District Court for the Northern District of Illinois,7th Circuit,"seventh circuit, parody, satire, photograph, commentary",
fair use found,0,2015,United States Court of Appeals for the Second Circuit,2nd Circuit,"second circuit, education, scholarship, research, format shifting, space shifting, internet, digitization, textual work",
fair use not found,0,2015,United States District Court for the District of New Jersey,3rd Circuit,"third circuit, textual work, unpublished",
fair use not found,0,2015,United States District Court for the Central District of California,9th Circuit,"ninth circuit, film, audiovisual, format shifting, space shifting, internet, digitization",
fair use found,0,2015,United States District Court for the Central District of California,9th Circuit,"ninth circuit, internet, digitization, photograph",
fair use not found,0,2015,United States District Court for the District of Arizona,9th Circuit,"ninth circuit, internet, digitization, textual work",
fair use found,0,2015,United States District Court for the Southern District of New York,2nd Circuit,"second circuit, film, audiovisual, parody, satire, textual work",
fair use not found,0,2015,United States District Court for the Southern District of New York,2nd Circuit,"second circuit, internet, digitization, photograph",
fair use not found,0,2014,United States Court of Appeals for the Eleventh Circuit,11th Circuit,"eleventh circuit, education, scholarship, research, internet, digitization, textual work",
fair use found,0,2014,United States District Court for the Southern District of New York,2nd Circuit,"second circuit, textual work, used in government proceeding, education, scholarship, research",
fair use not found,0,2014,United States Court of Appeals for the Second Circuit,2nd Circuit,"second circuit, education, scholarship, research, internet, digitization, textual work",
fair use found,0,2014,United States Court of Appeals for the Second Circuit,2nd Circuit,"second circuit, news reporting, unpublished",
fair use found,0,2014,United States Court of Appeals for the Seventh Circuit,7th Circuit,"seventh circuit, photograph",
fair use not found,0,2014,United States District Court for the District of Massachusetts,1st Circuit,"first circuit, textual work",
fair use found,0,2014,United States District Court for the Northern District of Illinois,7th Circuit,"seventh circuit, internet, digitization, textual work, used in government proceeding",
fair use found,0,2014,United States District Court for the Southern District of New York,2nd Circuit,"second circuit, film, audiovisual, commentary",
fair use found,0,2014,United States District Court for the Western District of Virginia,4th Circuit,"fourth circuit, film, audiovisual, commentary",
fair use found,0,2014,United States District Court for the Western District of Wisconsin,7th Circuit,"seventh circuit, photograph, sculpture",
fair use not found,0,2013,United States Court of Appeals for the Tenth Circuit,10th Circuit,"tenth circuit, education, scholarship, research, textual work, unpublished",
fair use not found,0,2013,United States Court of Appeals for the Second Circuit,2nd Circuit,"preliminary ruling, mixed result, or remand",
fair use found,0,2013,United States Court of Appeals for the Fourth Circuit,4th Circuit,"fourth circuit, film, audiovisual, painting, drawing, graphic",
fair use not found,0,2013,United States Court of Appeals for the Ninth Circuit,9th Circuit,"ninth circuit, film, audiovisual, format shifting, space shifting, internet, digitization",
fair use found,0,2013,United States Court of Appeals for the Ninth Circuit,9th Circuit,"ninth circuit, film, audiovisual, painting, drawing, graphic, photograph",
fair use found,0,2013,United States Court of Appeals for the Ninth Circuit,9th Circuit,"ninth circuit, film, audiovisual",
fair use not found,0,2013,United States District Court for the Central District of California,9th Circuit,"ninth circuit, painting, drawing, graphic, photograph",
fair use found,0,2013,United States District Court for the District of Minnesota,8th Circuit,"eighth circuit, education, scholarship, research, textual work, used in government proceeding",
fair use not found,0,2013,United States District Court for the Southern District of New York,2nd Circuit,"second circuit, format shifting, space shifting, news reporting",
fair use not found,0,2012,United States Court of Appeals for the First Circuit,1st Circuit,"first circuit, internet, digitization, textual work, unpublished",
fair use not found,0,2012,United States Court of Appeals for the Sixth Circuit,6th Circuit,"sixth circuit, photograph",
fair use not found,0,2012,United States Court of Appeals for the Ninth Circuit,9th Circuit,"ninth circuit, news reporting, photograph, unpublished",
fair use found,0,2012,United States District Court for the Central District of California,9th Circuit,"ninth circuit, education, scholarship, research, film, audiovisual",
fair use found,0,2012,United States District Court for the Central District of California,9th Circuit,"ninth circuit, film, audiovisual, parody, satire",
fair use not found,0,2011,United States Court of Appeals for the Third Circuit,3rd Circuit,"third circuit, news reporting, photograph",
fair use not found,0,2011,United States District Court for the Central District of California,9th Circuit,"ninth circuit, photograph",
fair use found,0,2011,United States District Court for the District of Nevada,9th Circuit,"ninth circuit, education, scholarship, research, internet, digitization, news reporting, textual work",
fair use found,0,2011,-8,11th Circuit,"eleventh circuit, parody, satire, textual work",
fair use not found,0,2010,United States Court of Appeals for the Second Circuit,2nd Circuit,"second circuit, parody, satire, commentary, textual work",
fair use not found,0,2010,United States Court of Appeals for the Fourth Circuit,4th Circuit,"fourth circuit, education, scholarship, research, film, audiovisual, painting, drawing, graphic",
fair use not found,0,2010,United States District Court for the Central District of California,9th Circuit,"ninth circuit, music, parody, satire",
fair use found,0,2010,United States District Court for the District of Nevada,9th Circuit,"ninth circuit, internet, digitization, news reporting, textual work",
fair use not found,0,2010,United States Court of Appeals for the Federal Circuit,Federal Circuit,"federal circuit, sculpture",
fair use found,0,2009,United States Court of Appeals for the Fourth Circuit,4th Circuit,"fourth circuit, computer program, education, scholarship, research, internet, digitization, textual work",
fair use not found,0,2009,United States District Court for the District of Puerto Rico,1st Circuit,"first circuit, photograph, sculpture",
fair use not found,0,2009,United States District Court for the Eastern District of Michigan,6th Circuit,"sixth circuit, education, scholarship, research, textual work",
fair use found,0,2009,United States District Court for the Eastern District of Pennsylvania,3rd Circuit,"third circuit, education, scholarship, research, painting, drawing, graphic, textual work",
fair use not found,0,2009,United States District Court for the Middle District of Tennessee,6th Circuit,"sixth circuit, film, audiovisual, music, textual work",
fair use not found,0,2009,United States District Court for the Southern District of New York,2nd Circuit,"second circuit, internet, music",
fair use not found,0,2008,United States Court of Appeals for the Eleventh Circuit,11th Circuit,"eleventh circuit, education, scholarship, research, commentary, textual work",
fair use not found,0,2008,United States Court of Appeals for the Ninth Circuit,9th Circuit,"ninth circuit, education, scholarship, research, film, audiovisual, music, photograph, textual work",
fair use not found,0,2008,United States District Court for the Southern District of New York,2nd Circuit,"second circuit, film, audiovisual, music, commentary",
fair use not found,0,2008,United States District Court for the Southern District of New York,2nd Circuit,"second circuit, film, audiovisual, textual work",
fair use not found,0,2007,United States Court of Appeals for the Sixth Circuit,6th Circuit,"sixth circuit, music",
fair use not found,0,2007,United States Court of Appeals for the Ninth Circuit,9th Circuit,"ninth circuit, internet, digitization, photograph",
fair use not found,0,2007,United States District Court for the District of Massachusetts,1st Circuit,"first circuit, film, audiovisual, news reporting, photograph",
fair use found,0,2007,United States District Court for the Eastern District of Virginia,4th Circuit,"fourth circuit, education, scholarship, research, textual work, used in government proceeding",
fair use found,0,2006,United States Court of Appeals for the Second Circuit,2nd Circuit,"second circuit, painting, drawing, graphic",
fair use found,0,2006,United States Court of Appeals for the Second Circuit,2nd Circuit,"second circuit, painting, drawing, graphic, photograph",
fair use not found,0,2006,United States Court of Appeals for the Ninth Circuit,9th Circuit,"ninth circuit, computer program",
fair use not found,0,2006,United States District Court for the District of Colorado,10th Circuit,"tenth circuit, film, audiovisual",
fair use not found,0,2005,United States Court of Appeals for the Seventh Circuit,7th Circuit,"seventh circuit, internet, digitization, music",
fair use not found,0,2005,United States District Court for the Southern District of New York,2nd Circuit,"second circuit, internet, digitization, parody, satire, photograph",
fair use found,0,2004,United States Court of Appeals for the Fifth Circuit,5th Circuit,"fifth circuit, painting, drawing, graphic, textual work",
fair use not found,0,2004,United States District Court for the Northern District of Illinois,7th Circuit,"seventh circuit, photograph, commentary, sculpture",
fair use found,0,2004,United States District Court for the Southern District of New York,2nd Circuit,"second circuit, film, audiovisual, parody, satire",
fair use not found,0,2003,United States Court of Appeals for the Third Circuit,3rd Circuit,"third circuit, film, audiovisual, internet, digitization",
fair use found,0,2003,United States Court of Appeals for the Fourth Circuit,4th Circuit,"fourth circuit, textual work, unpublished, used in government proceeding",
fair use not found,0,2003,United States Court of Appeals for the Seventh Circuit,7th Circuit,"seventh circuit, computer program, internet, digitization",
fair use not found,0,2003,United States Court of Appeals for the Ninth Circuit,9th Circuit,"ninth circuit, education, scholarship, research, film, audiovisual, music, photograph, commentary",
fair use found,0,2003,United States Court of Appeals for the Ninth Circuit,9th Circuit,"ninth circuit, internet, digitization, photograph",
fair use found,0,2003,United States Court of Appeals for the Ninth Circuit,9th Circuit,"ninth circuit, parody, satire, photograph, commentary",
fair use not found,0,2003,United States Court of Appeals for the Seventh Circuit,7th Circuit,"seventh circuit, commentary, textual work",
fair use not found,0,2002,United States Court of Appeals for the Second Circuit,2nd Circuit,"second circuit, textual work",
fair use found,0,2002,United States Court of Appeals for the Ninth Circuit,9th Circuit,"ninth circuit, film, audiovisual, news reporting",
fair use found,0,2001,United States Court of Appeals for the Eleventh Circuit,11th Circuit,"eleventh circuit, parody, satire, textual work",
fair use not found,0,2001,United States Court of Appeals for the Second Circuit,2nd Circuit,"second circuit, other",
fair use not found,0,2001,United States Court of Appeals for the Fifth Circuit,5th Circuit,"fifth circuit, education, scholarship, research, textual work",
fair use not found,0,2001,United States Court of Appeals for the Ninth Circuit,9th Circuit,"ninth circuit, internet, digitization, format shifting, space shifting, music",
fair use not found,0,2001,United States District Court for the Southern District of New York,2nd Circuit,"second circuit, film, audiovisual, music, news reporting",
fair use found,0,2001,United States District Court for the Southern District of New York,2nd Circuit,"second circuit, education, scholarship, research, film, audiovisual, commentary",
fair use not found,0,2001,United States District Court for the Southern District of New York,2nd Circuit,"second circuit, film, audiovisual, commentary",
fair use found,0,2000,United States Court of Appeals for the First Circuit,1st Circuit,"first circuit, news reporting, photograph",
fair use not found,0,2000,United States Court of Appeals for the Ninth Circuit,9th Circuit,"ninth circuit, computer program",
fair use not found,0,2000,United States Court of Appeals for the Ninth Circuit,9th Circuit,"ninth circuit, textual work",
fair use found,0,2000,United States District Court for the Southern District of New York,2nd Circuit,"second circuit, photograph, commentary, textual work",
fair use not found,0,1999,United States Court of Appeals for the Second Circuit,2nd Circuit,"second circuit, news reporting, textual work",
fair use not found,0,1999,United States District Court for the District of Nevada,9th Circuit,"ninth circuit, painting, drawing, graphic, photograph",
fair use not found,0,1998,United States Court of Appeals for the Second Circuit,2nd Circuit,"second circuit, film, audiovisual, textual work",
fair use not found,0,1998,United States Court of Appeals for the Second Circuit,2nd Circuit,"second circuit, format shifting, space shifting, music",
fair use found,0,1998,United States Court of Appeals for the Second Circuit,2nd Circuit,"second circuit, parody, satire, photograph",
fair use found,0,1998,United States Court of Appeals for the Fourth Circuit,4th Circuit,"fourth circuit, education, scholarship, research, commentary, textual work, unpublished",
fair use not found,0,1998,United States Court of Appeals for the Ninth Circuit,9th Circuit,"ninth circuit, film, audiovisual, news reporting",
fair use not found,0,1998,United States District Court for the Central District of California,9th Circuit,"ninth circuit, film, audiovisual, painting, drawing, graphic, parody, satire",
fair use found,0,1998,United States District Court for the District of Delaware,3rd Circuit,"third circuit, textual work, used in government proceeding",
fair use not found,0,1997,United States Court of Appeals for the Second Circuit,2nd Circuit,"second circuit, film, audiovisual, painting, drawing, graphic, photograph",
fair use not found,0,1997,United States Court of Appeals for the Ninth Circuit,9th Circuit,"ninth circuit, film, audiovisual, news reporting",
fair use not found,0,1996,United States Court of Appeals for the Sixth Circuit,6th Circuit,"sixth circuit, education, scholarship, research, textual work",
fair use not found,0,1996,United States District Court for the Northern District of California,9th Circuit,"ninth circuit, computer program, internet, digitization",
fair use not found,0,1996,United States District Court for the Southern District of New York,2nd Circuit,"second circuit, education, scholarship, research, film, audiovisual, commentary",
fair use not found,0,1995,United States District Court for the Central District of California,9th Circuit,"ninth circuit, film, audiovisual, parody, satire",
fair use not found,0,1995,United States District Court for the Southern District of New York,2nd Circuit,"second circuit, textual work",
fair use found,0,1995,United States District Court for the Southern District of New York,2nd Circuit,"second circuit, format shifting, space shifting, news reporting, commentary, textual work, unpublished",
fair use found,0,1994,United States District Court for the Northern District of California,9th Circuit,"ninth circuit, education, scholarship, research, textual work, unpublished",
fair use not found,0,1994,Supreme Court of the United States,U.S. Supreme Court,"u.s. supreme court, music, parody, satire",
fair use not found,0,1993,United States Court of Appeals for the Second Circuit,2nd Circuit,"second circuit, education, scholarship, research, film, audiovisual, commentary, textual work",
fair use found,0,1993,United States Court of Appeals for the Fourth Circuit,4th Circuit,"fourth circuit, painting, drawing, graphic",
fair use not found,0,1993,United States District Court for the District of Columbia,District of Columbia Circuit,"district of columbia circuit, format shifting, space shifting, news reporting, textual work",
fair use found,0,1992,United States Court of Appeals for the Second Circuit,2nd Circuit,"second circuit, education, scholarship, research, painting, drawing, graphic, commentary, textual work",
fair use not found,0,1992,United States Court of Appeals for the Second Circuit,2nd Circuit,"second circuit, parody, photograph, commentary, sculpture",
fair use not found,0,1992,United States Court of Appeals for the Ninth Circuit,9th Circuit,"ninth circuit, film, audiovisual, news reporting",
fair use found,0,1992,United States Court of Appeals for the Ninth Circuit,9th Circuit,"ninth circuit, computer program, education, scholarship, research",
fair use not found,0,1992,United States Court of Appeals for the Federal Circuit,Federal Circuit,"federal circuit, computer program",
fair use not found,0,1992,United States District Court for the Southern District of New York,2nd Circuit,"second circuit, news reporting, commentary, textual work, unpublished",
fair use not found,0,1991,United States Court of Appeals for the Second Circuit,2nd Circuit,"second circuit, education, scholarship, research, commentary, textual work, unpublished",
fair use found,0,1991,United States Court of Appeals for the Second Circuit,2nd Circuit,"second circuit, education, scholarship, research, textual work, unpublished",
fair use not found,0,1991,United States District Court for the Southern District of New York,2nd Circuit,"second circuit, education, scholarship, research, textual work",
fair use not found,0,1990,United States Court of Appeals for the Eleventh Circuit,11th Circuit,"eleventh circuit, computer program",
fair use found,0,1990,United States Court of Appeals for the Second Circuit,2nd Circuit,"second circuit, education, scholarship, research, commentary, textual work",
fair use found,0,1990,United States District Court for the Southern District of New York,2nd Circuit,"second circuit, news reporting, painting, drawing, graphic, textual work",
fair use not found,0,1990,Supreme Court of the United States,U.S. Supreme Court,"u.s. supreme court, film, audiovisual, textual work",
fair use not found,0,1989,United States Court of Appeals for the Second Circuit,2nd Circuit,"second circuit, education, scholarship, research, commentary, textual work, unpublished",
fair use not found,0,1989,United States Court of Appeals for the Second Circuit,2nd Circuit,"second circuit, education, scholarship, research, textual work",
fair use found,0,1989,United States Court of Appeals for the Ninth Circuit,9th Circuit,"ninth circuit, textual work",
fair use not found,0,1988,United States District Court for the Southern District of New York,2nd Circuit,"second circuit, film, audiovisual, music, parody, satire, unpublished",
fair use not found,0,1987,United States Court of Appeals for the Second Circuit,2nd Circuit,"second circuit, textual work, unpublished",
fair use found,0,1986,United States Court of Appeals for the Second Circuit,2nd Circuit,"second circuit, education, scholarship, research, commentary, textual work",
fair use found,0,1986,United States Court of Appeals for the Ninth Circuit,9th Circuit,"ninth circuit, music, parody, satire, commentary",
fair use found,0,1986,United States Court of Appeals for the Ninth Circuit,9th Circuit,"ninth circuit, painting, drawing, graphic, commentary, textual work",
fair use not found,0,1986,United States Court of Appeals for the Ninth Circuit,9th Circuit,"ninth circuit, textual work",
fair use found,0,1986,United States District Court for the District of Massachusetts,1st Circuit,"first circuit, painting, drawing, graphic, photograph, commentary",
fair use not found,0,1985,United States District Court for the District of Columbia,District of Columbia Circuit,"district of columbia circuit, news reporting, textual work",
fair use not found,0,1985,Supreme Court of the United States,U.S. Supreme Court,"u.s. supreme court, news reporting, textual work, unpublished",
fair use not found,0,1984,United States Court of Appeals for the Eleventh Circuit,11th Circuit,"eleventh circuit, film, audiovisual, news reporting",
fair use found,0,1984,United States Court of Appeals for the Second Circuit,2nd Circuit,"second circuit, news reporting",
fair use not found,0,1984,United States Court of Appeals for the Second Circuit,2nd Circuit,"second circuit, textual work",
fair use not found,0,1984,United States Court of Appeals for the Ninth Circuit,9th Circuit,"ninth circuit, photograph",
fair use found,0,1984,Supreme Court of the United States,U.S. Supreme Court,"u.s. supreme court, film, audiovisual, format shifting, space shifting",
fair use not found,0,1983,United States Court of Appeals for the Second Circuit,2nd Circuit,"second circuit, film, audiovisual, parody, satire",
fair use not found,0,1983,United States Court of Appeals for the Ninth Circuit,9th Circuit,"ninth circuit, education, scholarship, research, textual work",
fair use not found,0,1983,United States District Court for the Eastern District of Pennsylvania,3rd Circuit,"third circuit, education, scholarship, research, textual work",
fair use not found,0,1982,United States Court of Appeals for the Second Circuit,2nd Circuit,"second circuit, painting, drawing, graphic",
fair use not found,0,1982,United States Court of Appeals for the Second Circuit,2nd Circuit,"second circuit, film, audiovisual, news reporting, photograph",
fair use found,0,1982,United States Court of Appeals for the Ninth Circuit,9th Circuit,"ninth circuit, film, audiovisual, used in government proceeding",
fair use not found,0,1982,United States District Court for the Western District of New York,2nd Circuit,"second circuit, education, scholarship, research, film, audiovisual, format shifting, space shifting",
fair use not found,0,1981,United States Court of Appeals for the First Circuit,1st Circuit,"first circuit, textual work",
fair use not found,0,1981,United States Court of Appeals for the Second Circuit,2nd Circuit,"second circuit, commentary, music",
fair use not found,0,1981,United States Court of Appeals for the Second Circuit,2nd Circuit,"second circuit, film, audiovisual, parody, satire, painting, drawing, graphic",
fair use not found,0,1980,United States Court of Appeals for the Second Circuit,2nd Circuit,"second circuit, film, audiovisual, news reporting",
fair use found,0,1980,United States Court of Appeals for the Fifth Circuit,5th Circuit,"fifth circuit, textual work",
fair use found,0,1980,United States District Court for the Southern District of New York,2nd Circuit,"second circuit, film, audiovisual, parody, satire",
fair use not found,0,1979,United States Court of Appeals for the Fifth Circuit,5th Circuit,"fifth circuit, parody, satire, photograph",
fair use not found,0,1978,United States Court of Appeals for the Ninth Circuit,9th Circuit,"ninth circuit, parody, satire, painting, drawing, graphic",
fair use not found,0,1977,United States Court of Appeals for the Second Circuit,2nd Circuit,"second circuit, education, scholarship, research, textual work",
fair use found,0,1977,United States District Court for the District of New Jersey,3rd Circuit,"third circuit, education, scholarship, research, textual work",
fair use not found,0,1976,United States District Court for the Southern District of New York,2nd Circuit,"second circuit, news reporting, textual work",
fair use found,0,1973,United States Court of Claims,Federal Circuit,"federal circuit, education, research, scholarship, textual work",
fair use not found,0,1966,United States Court of Appeals for the Second Circuit,2nd Circuit,"second circuit, education, scholarship, research, textual work",
fair use found,0,1964,United States Court of Appeals for the Second Circuit,2nd Circuit,"second circuit, music, parody, satire",
fair use not found,0,1962,United States Court of Appeals for the Eighth Circuit,8th Circuit,"eighth circuit, music",
fair use found,0,1957,United States Court of Appeals for the Seventh Circuit,7th Circuit,"seventh circuit, education, scholarship, research, textual work",
fair use not found,0,1950,United States Court of Appeals for the Seventh Circuit,7th Circuit,"seventh circuit, education, scholarship, research, textual work",
fair use not found,0,1841,Court of Appeal of the State of California,1st Circuit,"first circuit, education, scholarship, research, textual work",
copyright infringement found,1,1976,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement found,1,2020,Supreme Court of the United States,U.S. Supreme Court,"film, research",
copyright infringement not found,1,2014,Supreme Court of the United States,U.S. Supreme Court,"audiovisual, drawing, internet, photograph, textual, unpublished",
fair use found,0,2014,Supreme Court of the United States,U.S. Supreme Court,", audiovisual, internet",
copyright infringement not found,1,1907,Supreme Court of the United States,U.S. Supreme Court,"drawing, graphic, music, painting, photograph",
fair use found,0,1980,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement found,1,2006,Supreme Court of the United States,U.S. Supreme Court,graphic,
copyright infringement found,1,1989,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement found,1,1982,Supreme Court of the United States,U.S. Supreme Court,"drawing, music",
copyright infringement not found,1,1988,Supreme Court of the United States,U.S. Supreme Court,music,
pending,0,1938,Supreme Court of the United States,U.S. Supreme Court,", graphic",
pending,1,1995,Supreme Court of the United States,U.S. Supreme Court,,
pending,0,1945,Supreme Court of the United States,U.S. Supreme Court,", graphic",
pending,0,1945,Supreme Court of the United States,U.S. Supreme Court,", graphic",
copyright infringement found,1,2013,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement not found,1,2019,Supreme Court of the United States,U.S. Supreme Court,"education, research, textual",
pending,1,2015,Supreme Court of the United States,U.S. Supreme Court,,
fair use found,0,1952,Supreme Court of the United States,U.S. Supreme Court,", research",
fair use found,0,1962,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement found,1,1989,Supreme Court of the United States,U.S. Supreme Court,drawing,
copyright infringement not found,1,2020,Supreme Court of the United States,U.S. Supreme Court,"drawing, education, research, scholarship, textual",
copyright infringement not found,1,2013,Supreme Court of the United States,U.S. Supreme Court,computer program,
copyright infringement found,1,1979,Supreme Court of the United States,U.S. Supreme Court,"music, research",
copyright infringement not found,1,1976,Supreme Court of the United States,U.S. Supreme Court,"commentary, drawing, education, graphic, photograph",
copyright infringement not found,1,1991,Supreme Court of the United States,U.S. Supreme Court,"graphic, research",
pending,1,2001,Supreme Court of the United States,U.S. Supreme Court,,
pending,1,1994,Supreme Court of the United States,U.S. Supreme Court,"commentary, education, music, news reporting, parody, research, satire, scholarship, unpublished",
pending,0,1994,Supreme Court of the United States,U.S. Supreme Court,", commentary, education, music, news reporting, parody, research, satire, scholarship, unpublished",
copyright infringement not found,1,1984,Supreme Court of the United States,U.S. Supreme Court,music,
copyright infringement found,1,2006,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement found,1,1991,Supreme Court of the United States,U.S. Supreme Court,parody,
copyright infringement found,1,1999,Supreme Court of the United States,U.S. Supreme Court,education,
pending,1,1989,Supreme Court of the United States,U.S. Supreme Court,"audiovisual, computer program, music, photograph, sculpture",
copyright infringement found,1,1985,Supreme Court of the United States,U.S. Supreme Court,"music, textual",
fair use not found,0,1965,Supreme Court of the United States,U.S. Supreme Court,", film, photograph",
fair use not found,0,1961,Supreme Court of the United States,U.S. Supreme Court,", education, film",
fair use found,0,2012,Supreme Court of the United States,U.S. Supreme Court,,
pending,1,2003,Supreme Court of the United States,U.S. Supreme Court,"film, graphic, music",
copyright infringement not found,1,1981,Supreme Court of the United States,U.S. Supreme Court,,
fair use not found,0,2008,Supreme Court of the United States,U.S. Supreme Court,", commentary, textual",
copyright infringement found,1,1985,Supreme Court of the United States,U.S. Supreme Court,"audiovisual, commentary, film, music, unpublished",
fair use not found,0,1985,Supreme Court of the United States,U.S. Supreme Court,", audiovisual, commentary, film, music, unpublished",
